time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-10-25T14:17:26.750Z,37.7820015,-121.9615021,6.49,1.24,md,9,104,0.08058,0.05,nc,nc72543790,2015-10-25T14:19:02.140Z,"1km E of San Ramon, California",earthquake
2015-10-25T12:29:47.230Z,37.7876663,-121.9595032,8.41,1.43,md,12,103,0.07574,0.05,nc,nc72543665,2015-10-25T12:31:21.870Z,"1km ENE of San Ramon, California",earthquake
2015-10-25T12:23:37.760Z,37.7750015,-121.9608307,8.93,1.33,md,10,107,0.08741,0.05,nc,nc72543655,2015-10-25T12:25:18.090Z,"1km ESE of San Ramon, California",earthquake
2015-10-25T10:37:49.020Z,37.7750015,-121.9603348,8.85,1.47,md,13,91,0.08752,0.05,nc,nc72543525,2015-10-25T10:39:26.390Z,"1km ESE of San Ramon, California",earthquake
2015-10-25T09:56:06.810Z,37.7845001,-121.9633331,6.03,1.22,md,8,122,0.08517,0.02,nc,nc72543500,2015-10-25T09:57:41.820Z,"1km ENE of San Ramon, California",earthquake
2015-10-25T07:49:13.010Z,37.7859993,-121.9656677,8.51,1.49,md,19,75,0.07579,0.04,nc,nc72543420,2015-10-25T07:50:52.020Z,"1km ENE of San Ramon, California",earthquake
2015-10-25T06:27:01.020Z,37.7866669,-121.9626694,7.6,1.92,md,13,225,0.08488,0.05,nc,nc72543375,2015-10-25T14:29:43.313Z,"1km ENE of San Ramon, California",earthquake
2015-10-25T06:26:23.320Z,37.7876663,-121.9671631,9.02,2.65,md,54,58,0.08119,0.12,nc,nc72543370,2015-10-25T17:48:16.325Z,"1km NE of San Ramon, California",earthquake
2015-10-24T22:05:29.240Z,37.7871666,-121.9651642,7.76,2.06,md,24,54,0.07479,0.1,nc,nc72543265,2015-10-25T04:16:59.675Z,"1km NE of San Ramon, California",earthquake
2015-10-24T20:56:26.420Z,37.8008347,-121.9698334,7.73,1.37,md,11,102,0.06066,0.05,nc,nc72543250,2015-10-24T20:58:02.620Z,"2km NNE of San Ramon, California",earthquake
2015-10-24T18:14:01.170Z,37.2356682,-122.1746674,5.86,2.08,md,23,151,0.02149,0.21,nc,nc72543180,2015-10-24T18:57:29.387Z,"13km WSW of Saratoga, California",earthquake
2015-10-24T17:00:16.820Z,37.7999992,-121.9674988,8.2,1.69,md,14,94,0.06202,0.05,nc,nc72543150,2015-10-24T17:01:53.150Z,"2km NNE of San Ramon, California",earthquake
2015-10-24T16:16:11.560Z,37.8001671,-121.9690018,7.69,1.37,md,13,74,0.06149,0.04,nc,nc72543130,2015-10-24T16:17:47.760Z,"2km NNE of San Ramon, California",earthquake
2015-10-24T07:44:07.080Z,37.7840004,-121.9639969,8.72,3.08,ml,13,197,0.07808,0.06,nc,nc72542920,2015-10-25T11:14:28.317Z,"1km ENE of San Ramon, California",earthquake
2015-10-24T07:43:46.260Z,37.7811667,-121.9665,9.06,3.23,mw,162,53,0.008516,0.15,nc,nc72542915,2015-10-25T01:41:34.608Z,"1km E of San Ramon, California",earthquake
2015-10-24T07:35:46.900Z,37.7998352,-121.9628296,8.33,1.74,md,18,106,0.06346,0.05,nc,nc72542910,2015-10-24T07:37:22.600Z,"2km NNE of San Ramon, California",earthquake
2015-10-24T06:30:35.710Z,37.8001671,-121.9688339,8.92,1.26,md,12,102,0.06153,0.07,nc,nc72542885,2015-10-24T06:32:12.220Z,"2km NNE of San Ramon, California",earthquake
2015-10-24T05:35:29.130Z,37.783165,-121.9586639,6.33,1.43,md,9,121,0.0891,0.04,nc,nc72542850,2015-10-24T05:37:06.900Z,"1km ENE of San Ramon, California",earthquake
2015-10-23T17:24:34.360Z,37.786,-121.9631667,7.56,2.36,md,52,55,0.006996,0.06,nc,nc72542580,2015-10-24T07:55:12.897Z,"1km ENE of San Ramon, California",earthquake
2015-10-23T14:00:28.650Z,37.7823333,-121.9641667,7.06,1.11,md,7,104,0.07964,0.03,nc,nc72542525,2015-10-24T02:50:38.260Z,"1km ENE of San Ramon, California",earthquake
2015-10-23T13:48:24.590Z,37.7825,-121.9655,8.7,3.23,mw,133,53,0.007781,0.12,nc,nc72542520,2015-10-24T10:33:45.308Z,"1km ENE of San Ramon, California",earthquake
2015-10-23T11:56:56.680Z,37.7833333,-121.9646667,4.09,1.22,md,10,101,0.07857,0.12,nc,nc72542500,2015-10-24T02:49:07.330Z,"1km ENE of San Ramon, California",earthquake
2015-10-23T10:11:46.540Z,37.7818333,-121.9555,6.63,1.03,md,11,288,0.09192,0.03,nc,nc72542485,2015-10-24T02:45:36.080Z,"1km E of San Ramon, California",earthquake
2015-10-23T10:01:31.770Z,37.7775002,-121.9658356,7.93,1.99,md,21,64,0.08393,0.09,nc,nc72542480,2015-10-23T18:04:13.941Z,"1km ESE of San Ramon, California",earthquake
2015-10-23T09:56:19.770Z,37.78,-121.9643333,8.05,2.34,md,83,52,0.01037,0.1,nc,nc72542475,2015-10-23T23:39:47.270Z,"1km E of San Ramon, California",earthquake
2015-10-23T09:55:25.020Z,37.7801667,-121.9595,6.64,2.76,md,92,53,0.0127,0.14,nc,nc72542470,2015-10-24T08:01:06.266Z,"1km E of San Ramon, California",earthquake
2015-10-23T09:54:49.970Z,37.7804985,-121.9613342,7.44,2.3,md,29,63,0.08205,0.06,nc,nc72542465,2015-10-23T17:57:17.014Z,"1km E of San Ramon, California",earthquake
2015-10-23T09:49:24.300Z,38.336834,-122.4029999,9.65,1.57,md,12,177,0.04437,0.05,nc,nc72542460,2015-10-23T09:50:58.370Z,"6km NE of Sonoma, California",earthquake
2015-10-23T07:58:39.180Z,37.7970009,-121.9663315,7.11,1.5,md,9,101,0.06516,0.02,nc,nc72542445,2015-10-23T08:00:13.110Z,"2km NNE of San Ramon, California",earthquake
2015-10-23T06:55:34.300Z,37.300499,-121.6723328,5.65,1.44,md,16,72,0.04144,0.04,nc,nc72542435,2015-10-23T06:57:08.880Z,"14km E of Seven Trees, California",earthquake
2015-10-23T06:12:24.960Z,37.7971649,-121.9615021,6.43,1.38,md,10,104,0.06632,0.05,nc,nc72542420,2015-10-23T06:14:03.640Z,"2km NE of San Ramon, California",earthquake
2015-10-23T01:09:35.300Z,37.7833328,-121.9611664,7.78,1.94,md,13,104,0.07939,0.05,nc,nc72542370,2015-10-23T01:56:13.219Z,"1km ENE of San Ramon, California",earthquake
2015-10-23T00:26:38.390Z,37.7980003,-121.9643326,6.99,1.62,md,9,155,0.06474,0.03,nc,nc72542365,2015-10-23T00:28:52.880Z,"2km NNE of San Ramon, California",earthquake
2015-10-22T22:04:21.850Z,37.7975006,-121.965332,7.69,2.28,md,23,58,0.06494,0.05,nc,nc72542330,2015-10-23T00:07:42.216Z,"2km NNE of San Ramon, California",earthquake
2015-10-22T18:24:56.950Z,37.7985,-121.9606667,7.85,1.12,md,9,97,0.06534,0.04,nc,nc71097789,2015-10-24T02:10:27.540Z,"2km NE of San Ramon, California",earthquake
2015-10-22T16:44:38.790Z,37.7981667,-121.9575,6.46,1.07,md,15,78,0.06666,0.06,nc,nc72542235,2015-10-24T02:05:55.260Z,"2km NE of San Ramon, California",earthquake
2015-10-22T15:42:05.690Z,37.7996674,-121.9681702,6.65,1.3,md,6,197,0.06217,0.02,nc,nc72542205,2015-10-22T15:43:41.250Z,"2km NNE of San Ramon, California",earthquake
2015-10-22T11:51:07.920Z,37.7931671,-121.9530029,6.8,1.47,md,13,78,0.07269,0.08,nc,nc72542125,2015-10-22T11:52:46.790Z,"2km NE of San Ramon, California",earthquake
2015-10-22T11:19:27.910Z,37.777668,-121.9629974,8.41,2.14,md,19,64,0.08437,0.07,nc,nc72542115,2015-10-23T14:00:17.661Z,"1km E of San Ramon, California",earthquake
2015-10-22T08:55:47.440Z,37.7988319,-121.9683304,6.89,1.24,md,10,95,0.06292,0.05,nc,nc72542055,2015-10-22T08:57:22.820Z,"2km NNE of San Ramon, California",earthquake
2015-10-22T04:29:49.990Z,37.7840004,-121.9583359,8.24,2.16,md,26,87,0.0795,0.08,nc,nc72541975,2015-10-22T06:51:29.428Z,"1km ENE of San Ramon, California",earthquake
2015-10-21T21:46:57.150Z,37.7811661,-121.9589996,7.39,1.33,md,9,106,0.08199,0.04,nc,nc72541880,2015-10-21T21:48:31.320Z,"1km E of San Ramon, California",earthquake
2015-10-21T19:16:39.320Z,37.7956657,-121.9615021,6.81,1.53,md,8,156,0.06772,0.02,nc,nc72541820,2015-10-21T19:18:15.950Z,"2km NE of San Ramon, California",earthquake
2015-10-21T05:49:38.880Z,37.7928333,-121.9721667,8.57,1.1,md,16,76,0.06786,0.06,nc,nc72541625,2015-10-21T16:09:34.840Z,"1km NNE of San Ramon, California",earthquake
2015-10-21T03:38:15.490Z,37.7828333,-121.9595,7.33,1.03,md,14,105,0.08029,0.05,nc,nc72541565,2015-10-24T00:34:25.860Z,"1km E of San Ramon, California",earthquake
2015-10-20T23:59:42.660Z,37.7853317,-121.9638367,7.13,2.22,md,24,54,0.07685,0.09,nc,nc72541515,2015-10-21T04:10:14.408Z,"1km ENE of San Ramon, California",earthquake
2015-10-20T23:09:33.090Z,37.7859993,-121.9615021,6.49,1.45,md,12,103,0.07679,0.05,nc,nc72541505,2015-10-20T23:11:11.260Z,"1km ENE of San Ramon, California",earthquake
2015-10-20T22:19:45.630Z,37.7803345,-121.9589996,7.24,1.56,md,12,106,0.08278,0.05,nc,nc72541485,2015-10-20T22:21:21.630Z,"1km E of San Ramon, California",earthquake
2015-10-20T20:40:40.400Z,37.7903328,-121.9703369,6.35,1.81,md,8,97,0.07064,0.03,nc,nc72541460,2015-10-20T20:42:17.610Z,"1km NNE of San Ramon, California",earthquake
2015-10-20T20:01:16.680Z,37.783165,-121.9599991,7.38,1.06,md,7,105,0.07985,0.03,nc,nc72541445,2015-10-20T20:02:51.250Z,"1km ENE of San Ramon, California",earthquake
2015-10-20T17:38:22.550Z,37.7956657,-121.9761658,7.35,1.25,md,9,188,0.0644,0.05,nc,nc72541395,2015-10-20T17:40:01.260Z,"1km N of San Ramon, California",earthquake
2015-10-20T17:18:02.600Z,37.7815018,-121.9609985,8.24,2.02,md,16,105,0.08117,0.08,nc,nc72541390,2015-10-21T04:13:16.524Z,"1km E of San Ramon, California",earthquake
2015-10-20T15:45:58.470Z,37.7943344,-121.9681702,6.95,1.76,md,12,77,0.06725,0.03,nc,nc72541355,2015-10-20T15:47:36.140Z,"1km NNE of San Ramon, California",earthquake
2015-10-20T14:15:05.330Z,37.7951667,-121.9588333,6.38,1.29,md,8,100,0.06897,0.04,nc,nc72541325,2015-10-23T03:24:31.500Z,"2km NE of San Ramon, California",earthquake
2015-10-20T14:04:36.380Z,37.7941667,-121.9626667,6.96,1.1,md,8,99,0.06879,0.04,nc,nc72541320,2015-10-23T03:23:30.590Z,"2km NE of San Ramon, California",earthquake
2015-10-20T14:02:05.990Z,37.7970009,-121.9611664,7.64,1.84,md,12,104,0.06658,0.04,nc,nc72541315,2015-10-20T14:03:40.790Z,"2km NE of San Ramon, California",earthquake
2015-10-20T14:00:07.650Z,37.7973328,-121.9638367,7.05,1.93,md,13,96,0.0655,0.05,nc,nc72541310,2015-10-21T04:13:48.568Z,"2km NNE of San Ramon, California",earthquake
2015-10-20T12:31:32.970Z,37.7898331,-121.9681702,7.31,1.36,md,8,194,0.07156,0.05,nc,nc72541285,2015-10-20T12:33:09.450Z,"1km NE of San Ramon, California",earthquake
2015-10-20T12:20:59.250Z,37.8005,-121.9673333,8.06,1.1,md,10,75,0.06159,0.06,nc,nc72541280,2015-10-23T03:18:57.830Z,"2km NNE of San Ramon, California",earthquake
2015-10-20T11:55:15.610Z,37.8003349,-121.9625015,7.72,1.46,md,13,107,0.06309,0.04,nc,nc72541270,2015-10-20T11:56:50.460Z,"2km NNE of San Ramon, California",earthquake
2015-10-20T11:49:59.810Z,37.802,-121.9653333,6.32,1.07,md,14,93,0.06072,0.17,nc,nc72541265,2015-10-23T03:17:27.310Z,"2km NNE of San Ramon, California",earthquake
2015-10-20T11:10:27.880Z,37.7798347,-121.9606705,7.79,1.91,md,18,89,0.08284,0.06,nc,nc72541250,2015-10-20T12:30:25.015Z,"1km E of San Ramon, California",earthquake
2015-10-20T09:05:29.760Z,37.7793333,-121.9606667,6.62,2.24,md,53,53,0.01265,0.14,nc,nc72541210,2015-10-24T00:27:53.388Z,"1km E of San Ramon, California",earthquake
2015-10-20T06:49:05.130Z,37.7931671,-121.9690018,7.4,1.41,md,9,97,0.06818,0.03,nc,nc72541180,2015-10-20T06:50:40.430Z,"1km NNE of San Ramon, California",earthquake
2015-10-20T06:19:11.580Z,37.7941666,-121.9741669,7.27,1.63,md,15,75,0.0662,0.08,nc,nc72541160,2015-10-20T06:20:49.620Z,"1km NNE of San Ramon, California",earthquake
2015-10-20T06:14:08.390Z,37.793499,-121.9785004,6.14,1.67,md,14,75,0.06619,0.05,nc,nc72541145,2015-10-20T06:15:46.370Z,"1km N of San Ramon, California",earthquake
2015-10-20T05:42:11.720Z,37.3785,-121.7463333,2.22,1.06,md,21,70,0.01881,0.05,nc,nc72541130,2015-10-24T03:15:05.610Z,"6km E of East Foothills, California",earthquake
2015-10-20T05:05:13.020Z,37.7936667,-121.9618333,6.01,1.75,md,31,57,0.01413,0.08,nc,nc72541120,2015-10-23T22:27:14.050Z,"2km NE of San Ramon, California",earthquake
2015-10-20T04:40:46.050Z,37.797,-121.9648333,8.08,1.11,md,9,96,0.06555,0.03,nc,nc72541105,2015-10-23T02:51:02.100Z,"2km NNE of San Ramon, California",earthquake
2015-10-20T04:37:52.050Z,37.7945,-121.9668333,7.18,1.1,md,14,97,0.0674,0.05,nc,nc72541100,2015-10-23T02:50:01.360Z,"1km NNE of San Ramon, California",earthquake
2015-10-20T04:33:52.850Z,37.791,-121.9685,6.45,2.79,md,90,55,0.003082,0.15,nc,nc72541095,2015-10-20T23:35:05.195Z,"1km NE of San Ramon, California",earthquake
2015-10-20T04:33:04.380Z,37.7955,-121.979,5.87,2.84,md,95,47,0.002056,0.24,nc,nc72541090,2015-10-21T02:11:04.865Z,"1km N of San Ramon, California",earthquake
2015-10-20T03:37:56.570Z,37.7953339,-121.9678345,7.24,1.37,md,8,100,0.06637,0.04,nc,nc72541070,2015-10-20T03:39:33.840Z,"1km NNE of San Ramon, California",earthquake
2015-10-20T03:30:57.790Z,37.7953339,-121.9763336,7.21,1.95,md,20,57,0.0647,0.08,nc,nc72541060,2015-10-20T05:15:41.990Z,"1km N of San Ramon, California",earthquake
2015-10-20T03:17:41.310Z,37.7988319,-121.9658356,7.05,1.39,md,11,122,0.06356,0.04,nc,nc72541050,2015-10-20T03:19:18.880Z,"2km NNE of San Ramon, California",earthquake
2015-10-20T03:00:40.190Z,37.7970009,-121.9615021,6.96,1.41,md,7,104,0.06648,0.03,nc,nc72541040,2015-10-20T03:02:13.630Z,"2km NE of San Ramon, California",earthquake
2015-10-20T02:42:03.260Z,37.7945,-121.9676667,6.95,1.35,md,15,97,0.06721,0.04,nc,nc72541030,2015-10-21T16:36:40.710Z,"1km NNE of San Ramon, California",earthquake
2015-10-20T02:31:07.970Z,37.7956657,-121.9638367,7.93,1.89,md,13,152,0.06707,0.04,nc,nc72541020,2015-10-20T02:32:43.940Z,"2km NE of San Ramon, California",earthquake
2015-10-20T02:30:00.430Z,37.7956667,-121.9628333,7.7,1.83,md,49,58,0.009551,0.09,nc,nc72541015,2015-10-23T02:33:40.460Z,"2km NE of San Ramon, California",earthquake
