Date,Max,Min,Avg,Dep,HDD,CDD,Precipitation,NewSnow,SnowDepth
2015-10-25,70,53,61.5,0.9,3,0,0.00,0.0,0
2015-10-24,70,53,61.5,0.9,3,0,0.00,0.0,0
2015-10-23,69,55,62.0,1.2,3,0,0.00,0.0,0
2015-10-22,73,54,63.5,2.5,1,0,0.00,0.0,0
2015-10-21,75,55,65.0,3.9,0,0,0.00,0.0,0
2015-10-20,79,57,68.0,6.7,0,3,0.00,0.0,0
2015-10-19,68,60,64.0,2.5,1,0,T,0.0,0
2015-10-18,69,60,64.5,2.9,0,0,T,0.0,0
2015-10-17,69,60,64.5,2.7,0,0,T,0.0,0
2015-10-16,72,60,66.0,4.0,0,1,0.00,0.0,0
2015-10-15,71,61,66.0,3.9,0,1,0.00,0.0,0
2015-10-14,78,61,69.5,7.2,0,5,0.00,0.0,M
2015-10-13,87,62,74.5,12.1,0,10,0.00,0.0,0
2015-10-12,82,56,69.0,6.5,0,4,0.00,0.0,0
2015-10-11,74,58,66.0,3.3,0,1,0.00,0.0,0
2015-10-10,71,60,65.5,2.7,0,1,0.00,0.0,0
2015-10-09,79,57,68.0,5.1,0,3,0.00,0.0,0
2015-10-08,80,58,69.0,6.0,0,4,0.00,0.0,0
2015-10-07,73,59,66.0,2.8,0,1,0.00,0.0,0
2015-10-06,74,60,67.0,3.7,0,2,0.00,0.0,0
2015-10-05,74,57,65.5,2.1,0,1,0.00,0.0,0
2015-10-04,73,53,63.0,-0.5,2,0,0.00,0.0,0
2015-10-03,71,55,63.0,-0.6,2,0,0.00,0.0,0
2015-10-02,76,56,66.0,2.3,0,1,0.00,0.0,0
2015-10-01,74,59,66.5,2.7,0,2,0.00,0.0,0
2015-09-30,65,58,61.5,-2.4,3,0,0.02,0.0,0
2015-09-29,67,57,62.0,-2.0,3,0,0.00,0.0,0
2015-09-28,70,55,62.5,-1.6,2,0,0.00,0.0,0
2015-09-27,71,57,64.0,-0.2,1,0,0.00,0.0,0
2015-09-26,71,57,64.0,-0.2,1,0,0.00,0.0,0
2015-09-25,74,58,66.0,1.7,0,1,0.00,0.0,0
2015-09-24,85,60,72.5,8.1,0,8,0.00,0.0,0
2015-09-23,75,55,65.0,0.5,0,0,0.00,0.0,0
2015-09-22,65,58,61.5,-3.0,3,0,0.00,0.0,0
2015-09-21,91,60,75.5,10.9,0,11,0.00,0.0,0
2015-09-20,93,61,77.0,12.4,0,12,0.00,0.0,0
2015-09-19,85,55,70.0,5.3,0,5,0.00,0.0,0
2015-09-18,79,56,67.5,2.8,0,3,0.00,0.0,0
2015-09-17,70,58,64.0,-0.8,1,0,0.00,0.0,0
2015-09-16,70,58,64.0,-0.8,1,0,T,0.0,0
2015-09-15,68,57,62.5,-2.4,2,0,0.00,0.0,0
2015-09-14,68,58,63.0,-1.9,2,0,T,0.0,0
2015-09-13,72,59,65.5,0.6,0,1,T,0.0,0
2015-09-12,73,57,65.0,0.1,0,0,0.00,0.0,0
2015-09-11,76,57,66.5,1.5,0,2,0.00,0.0,0
2015-09-10,83,57,70.0,5.0,0,5,0.00,0.0,0
2015-09-09,91,60,75.5,10.5,0,11,0.00,0.0,0
2015-09-08,92,61,76.5,11.5,0,12,0.00,0.0,0
